"Menurut Anda, bagaimana pendapat anda tentang society 5.0 yang merupakan era munculnya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah muncunya society 5.0 berdampak pada semua bidang profesi akibat adanya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi?","Menurut Anda, apakah adanya disrupsi di bidang profesi akuntansi membuat profesi tersebut lebih banyak menggunakan teknologi robotic, big data dan kecerdasan buatan dalam aktifitasnya?","Menurut Anda, apakah adanya disrupsi membuat profesi akuntansi akan tergeser peranannya oleh robotic dan kecerdasan buatan dalam rentan waktu beberapa tahun kedepan?"
"Memberikan informasi dari sensor di ruang fisik terakumulasi di dunia maya dan dianalisis oleh kecerdasan buatan, dan hasilnya diumpan kembali ke manusia dalam ruang fisik dalam berbagai bentuk.",Iyah,Iyah,Iyah,Iyah
Semakin berkembang,Ya,Tidak,Ya,Tidak
Sebuah konsep yg berpusat pd Human yg berkolaborasi dgn teknologi dalam memecahkan permasalahan sosial. Diharapkan dgn adanya konsep ini berbagai gap / kesenjangan dlm masyarakat dpt teratasi secara lebih efektif,Tidak semua profesi ,Tidak,Teknologi tersebut dpt digunakan tp tidak menghilangkan peran manusia secara mutlak ,Tidak 
Perlu adanya penyesuain personal bagaimana untuk bisa mengikuti arah perkembangan baru itu dan Sekiranya membawa hal yang positif ,"Mungkin belum berdampak terhadap semua bidang profesi, sebab Sebagaimana beberapa profesi tidak semuanya berkaitan dengan 5.0 kecerdasan buatan",Ya Sekiranya begitu memang saat ini Akuntansi banyak contoh yang dibantu Oleh tools atau alat Dan program yang sekarang memudahkan profesi seorang akuntan,Ya itu jelas saya Kira ,Mungkin Iya bisa 
Menurut saya kurang tau,Menurut saya memunculkan kecerdasan ,Menurut saya iyaa,Menurut saya tidak tahu ,Menurut saya terus bersaing 
"Society 5.0 menurut saya merupakan hal yang akan memudahkan manusia dalam kesehariannya dan dapat membantu permasalahan yang semakin beragam. Meskipun society 5.0 ini sepertinya terdengar seperti tetang kemajuan teknologi yang tinggi, tetapi pada era ini softskill manusia juga berperan penting agar kemajuan teknologi bisa berintegrasi dengan kehidupan nyata.",Tentunya akan berdampak. Di era sebelumnya saja yaitu revolusi industri 4.0 ada beberapa bidang profesi yang sudah digantikan oleh mesin/robot.,Ya. Untuk penyusunan laporan keuangan saat ini sudah ada macam-macam aplikasi yang mempermudah akuntan.,"Iya. Namun, menurut saya untuk analisis, lalu yang berhubungan dengan strategi atau problem solving belum bisa digantikan dengan robotic atau AI. Karena menurut saya meski ada robotic atau AI yang memutuskan suatu pilihan itu manusia bukan teknologinya.","Sepertinya beberapa tugas dari akuntan akan digeser oleh robotic atau AI, seperti penyusunan laporan keuangan saat ini sudah terbantu dengan berbagai macam aplikasi."
Tidak masalah asal dengan adanya perubahan yang begitu cepat SDMnya juga harus siap dengan perubahan dengan cara continues improvement skill and etc.,Iya berdampak karena semua dipengaruhi dengan teknologi.,Tidak akan.,"Perubahan kearah kecanggihan teknologi pasti ada seperti basis pelaporan keuangan semakin canggih tanpa adanya manual system namun dalam pengambilan keputusan dan pengambilan keputusan strategis masih tetap dengan kendali manusia tidak dapat digantikan dengan AI, Robot, etc. ",Tidak alasannya sama dema dengan yang diatas tidak dapat tergantikan.
"Menurut saya society 5.0 memiliki dampak positif dan negatifnya. Dampak positifnya adalah pekerjaan manusia dapat dimudahkan bahkan digantikan oleh teknologi yang ada, sehingga akan lebih menghemat biaya tenaga kerja. Namun dampak negatifnya akan memunculkan lebih banyak pengangguran jika sumber daya manusianya tidak dapat menyesuaikan dengan perkembangan teknologi yang ada, yaitu salah satunya dengan meningkatkan kempampuan soft skills nya.",Ya,Ya,Ya,"Ya, namun tidak akan menggeser sepenuhnya"
Sangat membantu dan mempermudah pekerjaan,Sangat berdampak,Jelas terkena,Tentu ,"Tergeser, cuma tidak bisa di hilangkan"
Sebagai perubahan luar biasa yang mengubah pola hidup masyarakat,"tentunya berdampak, terutama dalam rangka efisiensi dan efektivitas kerja profesi",Pasti. ,"Belum tentu, karena tugas seorang akuntan tidak sekadar mencatat tetapi mempunyai kewenangan untuk memberi pertimbangan atau opini audit, ini membutuhkan nalar kritis dari akuntan yang tdk dimiliki oleh teknologi","Mungkin di beberapa lini kerja"" akuntansi akan dipermudah oleh teknologi, teknologi sekadar mengurangi peran akuntan tetapi tidak menggeser eksistensi akuntan"
Sangat bagus dengan adanya society 5.0 karena kemajuan teknologi sehingga segala pekerjaan diharapkan lebih efisien dan efektif. Akan tetapi pada era ini diharapkan adanya SDM yang mampu mengikuti kecanggihan sehingga tidak tergeser oleh teknologi yang semakin canggih. Di era ini manusia diharapkan mampu beradaptasi dengan berbagai tantangan dan permasalahan dengan berbagai inovasi teknologi yang semakin canggih.,Iyaa sebagian profesi mungkin akan berdampak karena ada teknologi yang bisa menggantikan peran manusia. ,"Bisa jadi profesi akuntan akan terkena salah satu dampak dari era ini , akan tetapi ada bagian2 kegiatan akuntan yang tidak bisa digantikan oleh kecerdasan buatan. Oleh karena itu sangat penting bagi akuntan untuk dibekali kemampuan-kemampuan agar bisa beradaptasi dengan kemajuan teknologi, akuntan juga harus mengikuti perkembangan teknologi yang ada. Sehingga era society ini bisa membantu pekerjaan akuntan secara efektif dan efisien dan era ini bukan menjadi tantangan lagi melainkan peluang untuk semakin maju dan lebih baik dari sebelumnya.",Mungkin kalau profesi akuntan lebih banyak menggunakan kecerdasan buatan seperti aplikasi2 pembukuan dan pencatatan. Hal ini baik karena dengam begitu proses pembukuan akan lebih cepat dan efisien adanya big data pun akan membuat proses dalam akuntansi akan terintegrasi satu sama lain. Tentunya kelebihan2 ini harus dikontrol oleh SDM yang memiliki kemampuan teknologi yang mumpuni.,"Kemungkinan besar akan tergeser jika para akuntan tidak mampu beradaptasi dengan teknologi yang ada , saya rasa profesi akuntan akan tetap dibutuhkan di masa datang meskipun jumlahnya akan berkurang karena adanya kecerdasan buatan ini"
"Sangat menantang diiringi peningkatan skill di bidang IT. Kebutuhan pekerjaan juga akan bergeser dari yg konvesional jadi serba digital, ini menjadi sebab munculnya pekerjaan baru yg paling banyak demandnya seperti digital marketing, data engineering, data analyst, business analyst, etc. Hal ini bisa menguntungkan pun mengancam ",Sureeee. Bidang pendidikan saja harus menggunakan blended learning. Pertanian konvesional kalah saing dgn modern farming. ,Without doubt,"Frankly speaking true. Contohnya penggunaan software Xero, Oracle, and many more. ","Nope. Akuntansi adalah profesi yg kompleks dibutuhkan kemampuan problem solving, critical thinking, analytics, etc yg tidak bisa tergantintikan teknologi. But who knows, it might be replaced. "
s ada keuntungan dan kerugian ,,,,Ada
,,,,"tidak, tetap membutuhkan tenaga manusia "
,,,,20 tahun
Suatu konsep masyarakat yang berpusat pada manusia cenderung berbasis pada teknologi. ,Berpengaruh,Iya,Iya lebih simple dengan auto record,"Bisa jadi iya, 15 tahun asal terjaga/repair secara berkala."
