"Menurut Anda, bagaimana pendapat anda tentang society 5.0 yang merupakan era munculnya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah muncunya society 5.0 berdampak pada semua bidang profesi akibat adanya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi?","Menurut Anda, apakah adanya disrupsi di bidang profesi akuntansi membuat profesi tersebut lebih banyak menggunakan teknologi robotic, big data dan kecerdasan buatan dalam aktifitasnya?","Menurut Anda, apakah adanya disrupsi membuat profesi akuntansi akan tergeser peranannya oleh robotic dan kecerdasan buatan dalam rentan waktu beberapa tahun kedepan?",Compound_Score,Sentiments
"Memberikan informasi dari sensor di ruang fisik terakumulasi di dunia maya dan dianalisis oleh kecerdasan buatan, dan hasilnya diumpan kembali ke manusia dalam ruang fisik dalam berbagai bentuk.",Yes,Yes,Yes,Yes,0.4019,Positif
Semakin berkembang,Of,No,Of,No,-0.296,Negatif
Sebuah konsep yg berpusat pd Human yg berkolaborasi dgn teknologi dalam memecahkan permasalahan sosial. Diharapkan dgn adanya konsep ini berbagai gap / kesenjangan dlm masyarakat dpt teratasi secara lebih efektif,Tidak semua profesi ,No,Teknologi tersebut dpt digunakan tp tidak menghilangkan peran manusia secara mutlak ,No,-0.296,Negatif
Perlu adanya penyesuain personal bagaimana untuk bisa mengikuti arah perkembangan baru itu dan Sekiranya membawa hal yang positif ,"Mungkin belum berdampak terhadap semua bidang profesi, sebab Sebagaimana beberapa profesi tidak semuanya berkaitan dengan 5.0 kecerdasan buatan",Ya Sekiranya begitu memang saat ini Akuntansi banyak contoh yang dibantu Oleh tools atau alat Dan program yang sekarang memudahkan profesi seorang akuntan,Ya itu jelas saya Kira ,Maybe he can,0.0,Netral
Menurut saya kurang tau,Menurut saya memunculkan kecerdasan ,Menurut saya iyaa,Menurut saya tidak tahu ,I think keep on competing,0.0,Netral
"Society 5.0 menurut saya merupakan hal yang akan memudahkan manusia dalam kesehariannya dan dapat membantu permasalahan yang semakin beragam. Meskipun society 5.0 ini sepertinya terdengar seperti tetang kemajuan teknologi yang tinggi, tetapi pada era ini softskill manusia juga berperan penting agar kemajuan teknologi bisa berintegrasi dengan kehidupan nyata.",Tentunya akan berdampak. Di era sebelumnya saja yaitu revolusi industri 4.0 ada beberapa bidang profesi yang sudah digantikan oleh mesin/robot.,Ya. Untuk penyusunan laporan keuangan saat ini sudah ada macam-macam aplikasi yang mempermudah akuntan.,"Iya. Namun, menurut saya untuk analisis, lalu yang berhubungan dengan strategi atau problem solving belum bisa digantikan dengan robotic atau AI. Karena menurut saya meski ada robotic atau AI yang memutuskan suatu pilihan itu manusia bukan teknologinya.","It seems that some of the tasks of accountants will be shifted by robots or AI, such as the current preparation of financial reports that are assisted by various applications.",0.0,Netral
Tidak masalah asal dengan adanya perubahan yang begitu cepat SDMnya juga harus siap dengan perubahan dengan cara continues improvement skill and etc.,Iya berdampak karena semua dipengaruhi dengan teknologi.,Tidak akan.,"Perubahan kearah kecanggihan teknologi pasti ada seperti basis pelaporan keuangan semakin canggih tanpa adanya manual system namun dalam pengambilan keputusan dan pengambilan keputusan strategis masih tetap dengan kendali manusia tidak dapat digantikan dengan AI, Robot, etc. ","No, the reason is the same as the one above and cannot be replaced.",0.0,Netral
"Menurut saya society 5.0 memiliki dampak positif dan negatifnya. Dampak positifnya adalah pekerjaan manusia dapat dimudahkan bahkan digantikan oleh teknologi yang ada, sehingga akan lebih menghemat biaya tenaga kerja. Namun dampak negatifnya akan memunculkan lebih banyak pengangguran jika sumber daya manusianya tidak dapat menyesuaikan dengan perkembangan teknologi yang ada, yaitu salah satunya dengan meningkatkan kempampuan soft skills nya.",Of,Of,Of,"Yes, but it won't pan all the way",0.2144,Positif
Sangat membantu dan mempermudah pekerjaan,Sangat berdampak,Jelas terkena,Tentu ,"Shifted, just can't be removed",0.0,Netral
Sebagai perubahan luar biasa yang mengubah pola hidup masyarakat,"tentunya berdampak, terutama dalam rangka efisiensi dan efektivitas kerja profesi",Pasti. ,"Belum tentu, karena tugas seorang akuntan tidak sekadar mencatat tetapi mempunyai kewenangan untuk memberi pertimbangan atau opini audit, ini membutuhkan nalar kritis dari akuntan yang tdk dimiliki oleh teknologi","Maybe in some lines of work ""accounting will be facilitated by technology, technology only reduces the role of accountants but does not shift the existence of accountants",0.0,Netral
